Machine;Num proc;Filtre;NbIter;Temps (s)
RKS;2;0;100;0,49
RKS;2;0;200;1,99
RKS;2;0;300;3,02
RKS;2;0;400;1,94
RKS;2;0;500;4,15
RKS;2;0;600;2,92
RKS;2;0;700;6,95
RKS;2;0;800;7,96
RKS;2;0;900;4,34
RKS;2;0;1000;4,83
RKS;2;2;100;0,34
RKS;2;2;200;0,66
RKS;2;2;300;0,99
RKS;2;2;400;2,4
RKS;2;2;500;1,67
RKS;2;2;600;3,59
RKS;2;2;700;4,19
RKS;2;2;800;4,77
RKS;2;2;900;3,12
RKS;2;2;1000;5,97
RKS;2;4;100;12,45
RKS;2;4;200;23,61
RKS;2;4;300;35,21
RKS;2;4;400;49,38
RKS;2;4;500;88,87
RKS;2;4;600;105,83
RKS;2;4;700;81,63
RKS;2;4;800;92,81
RKS;2;4;900;158,79
RKS;2;4;1000;115,85
RKS;4;0;500;1,3
RKS;4;4;500;44,94
RKS;5;0;500;2,04
RKS;5;4;500;37,56
RKS;8;0;500;1,49
RKS;8;4;500;25,74
RKS;10;0;500;2,1
RKS;10;4;500;35,22
RKS;20;0;500;1,63
RKS;20;4;500;29,52
RKS;40;0;500;1,54
RKS;40;4;500;28,65
RKS;50;0;500;1,65
RKS;50;4;500;28,21
RKS;100;0;500;1,69
RKS;100;4;500;29,21
6 RKS;2;0;100;0,54
6 RKS;2;0;200;1,06
6 RKS;2;0;300;1,59
6 RKS;2;0;400;2,12
6 RKS;2;0;500;2,63
6 RKS;2;0;600;3,16
6 RKS;2;0;700;3,68
6 RKS;2;0;800;4,22
6 RKS;2;0;900;4,75
6 RKS;2;0;1000;5,27
6 RKS;2;2;100;0,38
6 RKS;2;2;200;0,75
6 RKS;2;2;300;1,13
6 RKS;2;2;400;1,5
6 RKS;2;2;500;1,88
6 RKS;2;2;600;2,25
6 RKS;2;2;700;2,62
6 RKS;2;2;800;3
6 RKS;2;2;900;3,38
6 RKS;2;2;1000;3,75
6 RKS;2;4;100;11,65
6 RKS;2;4;200;23,25
6 RKS;2;4;300;34,9
6 RKS;2;4;400;46,2
6 RKS;2;4;500;58,25
6 RKS;2;4;600;70,01
6 RKS;2;4;700;81,34
6 RKS;2;4;800;92,66
6 RKS;2;4;900;104,22
6 RKS;2;4;1000;116,34
6 RKS;4;0;500;1,48
6 RKS;4;4;500;29,69
6 RKS;5;0;500;1,2
6 RKS;5;4;500;24,1
6 RKS;8;0;500;1,44
6 RKS;8;4;500;15,21
6 RKS;10;0;500;1,18
6 RKS;10;4;500;17,5
6 RKS;20;0;500;0,67
6 RKS;20;4;500;9,67
6 RKS;40;0;500;0,46
6 RKS;40;4;500;5,1
6 RKS;50;0;500;0,53
6 RKS;50;4;500;6,74
6 RKS;100;0;500;0,57
6 RKS;100;4;500;5,6
