Machine;Num_proc;Nblocks;H;W;prof;Temps (s)
6 Pi;4;40;800;800;10000;87
6 Pi;4;40;200;200;10000;6
6 Pi;4;40;400;400;10000;24
6 Pi;4;40;600;600;10000;49
6 Pi;4;40;1000;1000;10000;144
6 Pi;4;40;800;800;20000;171
6 Pi;4;40;800;800;15000;122
6 Pi;4;40;800;800;10000;89
6 Pi;4;40;800;800;5000;47
6 Pi;4;40;800;800;1000;11
6 Pi;2;40;800;800;10000;253
6 Pi;4;40;800;800;10000;84
6 Pi;5;40;800;800;10000;58
6 Pi;8;40;800;800;10000;53
6 Pi;10;40;800;800;10000;45
6 Pi;20;40;800;800;10000;44
6 Pi;4;200;800;800;10000;120
6 Pi;4;100;800;800;10000;110
6 Pi;4;80;800;800;10000;101
6 Pi;4;40;800;800;10000;113
6 Pi;4;40;800;800;10000;108
6 Pi;4;40;800;800;10000;92
6 Pi;4;20;800;800;10000;82
6 Pi;4;10;800;800;10000;81
6 Pi;4;8;800;800;10000;86
6 Pi;4;4;800;800;10000;90
Pi;2;40;800;800;10000;71
Pi;4;40;800;800;10000;37
Pi;5;40;800;800;10000;29
Pi;8;40;800;800;10000;28
Pi;10;40;800;800;10000;29
Pi;20;40;800;800;10000;30
RKS;2;40;800;800;10000;4,7
RKS;4;40;800;800;10000;2,3
RKS;5;40;800;800;10000;2,1
RKS;8;40;800;800;10000;1,9
RKS;10;40;800;800;10000;1,9
RKS;20;40;800;800;10000;2
RKS;2;20;1000;1000;1000;1,18
RKS;2;20;1100;1100;1000;1,38
RKS;2;20;1200;1200;1000;1,28
RKS;2;20;1300;1300;1000;1,27
RKS;2;20;1400;1400;1000;1,31
RKS;2;20;1500;1500;1000;1,36
RKS;2;20;1600;1600;1000;1,47
RKS;2;20;1700;1700;1000;1,45
RKS;2;20;1800;1800;1000;1,5
RKS;2;20;1900;1900;1000;1,55
RKS;2;20;2000;2000;1000;1,62
RKS;2;20;3000;3000;1000;2,34
RKS;2;20;4000;4000;1000;3,37
RKS;2;20;5000;5000;1000;4,69
RKS;2;20;1000;1000;1000;1,17
RKS;2;20;1000;1000;2000;1,37
RKS;2;20;1000;1000;3000;1,46
RKS;2;20;1000;1000;4000;1,6
RKS;2;20;1000;1000;5000;1,73
RKS;2;20;1000;1000;6000;1,88
RKS;2;20;1000;1000;7000;2,02
RKS;2;20;1000;1000;8000;2,16
RKS;2;20;1000;1000;9000;2,51
RKS;2;20;1000;1000;10000;2,68
RKS;4;20;1000;1000;1000;1,2
RKS;4;20;5000;5000;1000;4,76
RKS;8;20;1000;1000;1000;1,18
RKS;8;20;5000;5000;1000;4,59
RKS;10;20;1000;1000;1000;1,18
RKS;10;20;5000;5000;1000;3,68
RKS;20;20;1000;1000;1000;1,2
RKS;20;20;5000;5000;1000;2,98
RKS;40;20;1000;1000;1000;1,52
RKS;40;20;5000;5000;1000;2,54
RKS;50;20;1000;1000;1000;1,39
RKS;50;20;5000;5000;1000;2,64
RKS;100;20;1000;1000;1000;1,76
RKS;100;20;5000;5000;1000;2,95
RKS;8;5;1000;1000;1000;1,18
RKS;8;5;5000;5000;1000;4,57
RKS;8;10;1000;1000;1000;1,17
RKS;8;10;5000;5000;1000;4,53
RKS;8;50;1000;1000;1000;1,2
RKS;8;50;5000;5000;1000;4,23
RKS;8;100;1000;1000;1000;1,18
RKS;8;100;5000;5000;1000;4,14
6 RKS;2;;1000;1000;1000;
6 RKS;2;;1100;1100;1000;
6 RKS;2;;1200;1200;1000;
6 RKS;2;;1300;1300;1000;
6 RKS;2;;1400;1400;1000;
6 RKS;2;;1500;1500;1000;
6 RKS;2;;1600;1600;1000;
6 RKS;2;;1700;1700;1000;
6 RKS;2;;1800;1800;1000;
6 RKS;2;;1900;1900;1000;
6 RKS;2;;2000;2000;1000;
6 RKS;2;;3000;3000;1000;
6 RKS;2;;4000;4000;1000;
6 RKS;2;;5000;5000;1000;
6 RKS;2;;1000;1000;1000;
6 RKS;2;;1000;1000;2000;
6 RKS;2;;1000;1000;3000;
6 RKS;2;;1000;1000;4000;
6 RKS;2;;1000;1000;5000;
6 RKS;2;;1000;1000;6000;
6 RKS;2;;1000;1000;7000;
6 RKS;2;;1000;1000;8000;
6 RKS;2;;1000;1000;9000;
6 RKS;2;;1000;1000;10000;
6 RKS;4;;1000;1000;1000;
6 RKS;4;;5000;5000;1000;
6 RKS;8;;1000;1000;1000;
6 RKS;8;;5000;5000;1000;
6 RKS;10;;1000;1000;1000;
6 RKS;10;;5000;5000;1000;
6 RKS;20;;1000;1000;1000;
6 RKS;20;;5000;5000;1000;
6 RKS;40;;1000;1000;1000;
6 RKS;40;;5000;5000;1000;
6 RKS;50;;1000;1000;1000;
6 RKS;50;;5000;5000;1000;
6 RKS;100;;1000;1000;1000;
6 RKS;100;;5000;5000;1000;
6 RKS;8;5;1000;1000;1000;
6 RKS;8;5;5000;5000;1000;
6 RKS;8;10;1000;1000;1000;
6 RKS;8;10;5000;5000;1000;
6 RKS;8;50;1000;1000;1000;
6 RKS;8;50;5000;5000;1000;
6 RKS;8;100;1000;1000;1000;
6 RKS;8;100;5000;5000;1000;
