Machine;Num_threads;H;W;prof;Temps (s)
RKS;2;1000;1000;1000;0,156
RKS;2;1100;1100;1000;0,181
RKS;2;1200;1200;1000;0,211
RKS;2;1300;1300;1000;0,248
RKS;2;1400;1400;1000;0,287
RKS;2;1500;1500;1000;0,33
RKS;2;1600;1600;1000;0,375
RKS;2;1700;1700;1000;0,424
RKS;2;1800;1800;1000;0,475
RKS;2;1900;1900;1000;0,528
RKS;2;2000;2000;1000;0,585
RKS;2;3000;3000;1000;1,313
RKS;2;4000;4000;1000;2,335
RKS;2;5000;5000;1000;3,687
RKS;2;1000;1000;1000;0,149
RKS;2;1000;1000;2000;0,286
RKS;2;1000;1000;3000;0,427
RKS;2;1000;1000;4000;0,567
RKS;2;1000;1000;5000;0,713
RKS;2;1000;1000;6000;0,848
RKS;2;1000;1000;7000;0,993
RKS;2;1000;1000;8000;1,131
RKS;2;1000;1000;9000;1,278
RKS;2;1000;1000;10000;1,42
RKS;4;1000;1000;1000;0,152
RKS;4;5000;5000;1000;3,638
RKS;8;1000;1000;1000;0,129
RKS;8;5000;5000;1000;3,008
RKS;16;1000;1000;1000;0,085
RKS;16;5000;5000;1000;2,078
RKS;32;1000;1000;1000;0,074
RKS;32;5000;5000;1000;1,37
RKS;64;1000;1000;1000;0,061
RKS;64;5000;5000;1000;1,189
RKS;128;1000;1000;1000;0,056
RKS;128;5000;5000;1000;1,163
